Initialising...
Starting CloudSim version 3.0
Broker is starting...
Datacenter is starting...
Entities started.
0.0: Broker: Cloud Resource List received with 1 resource(s)
0,00: VM #19 has been allocated to the host #39
0,00: VM #20 has been allocated to the host #41
0,00: VM #21 has been allocated to the host #43
0,00: VM #22 has been allocated to the host #45
0,00: VM #23 has been allocated to the host #47
0,00: VM #24 has been allocated to the host #49
0,00: VM #25 has been allocated to the host #51
0,00: VM #26 has been allocated to the host #53
0,00: VM #27 has been allocated to the host #55
0,00: VM #28 has been allocated to the host #57
0,00: VM #29 has been allocated to the host #59
0,00: VM #30 has been allocated to the host #61
0,00: VM #31 has been allocated to the host #63
0,00: VM #32 has been allocated to the host #65
0,00: VM #33 has been allocated to the host #67
0,00: VM #34 has been allocated to the host #69
0,00: VM #35 has been allocated to the host #71
0,00: VM #36 has been allocated to the host #73
0,00: VM #37 has been allocated to the host #75
0,00: VM #38 has been allocated to the host #77
0,00: VM #39 has been allocated to the host #79
0,00: VM #40 has been allocated to the host #81
0,00: VM #41 has been allocated to the host #83
0,00: VM #42 has been allocated to the host #85
0,00: VM #43 has been allocated to the host #87
0,00: VM #44 has been allocated to the host #89
0,00: VM #45 has been allocated to the host #91
0,00: VM #46 has been allocated to the host #93
0,00: VM #47 has been allocated to the host #95
0,00: VM #48 has been allocated to the host #97
0,00: VM #49 has been allocated to the host #99
0,00: VM #50 has been allocated to the host #101
0,00: VM #51 has been allocated to the host #103
0,00: VM #52 has been allocated to the host #105
0,00: VM #53 has been allocated to the host #107
0,00: VM #54 has been allocated to the host #109
0,00: VM #55 has been allocated to the host #111
0,00: VM #56 has been allocated to the host #113
0,00: VM #57 has been allocated to the host #115
0,00: VM #58 has been allocated to the host #117
0,00: VM #59 has been allocated to the host #119
0,00: VM #60 has been allocated to the host #121
0,00: VM #61 has been allocated to the host #123
0,00: VM #62 has been allocated to the host #125
0,00: VM #63 has been allocated to the host #127
0,00: VM #64 has been allocated to the host #129
0,00: VM #65 has been allocated to the host #131
0,00: VM #66 has been allocated to the host #133
0,00: VM #67 has been allocated to the host #135
0,00: VM #68 has been allocated to the host #137
0,00: VM #69 has been allocated to the host #139
0,00: VM #70 has been allocated to the host #141
0,00: VM #71 has been allocated to the host #143
0,00: VM #72 has been allocated to the host #145
0,00: VM #73 has been allocated to the host #147
0,00: VM #74 has been allocated to the host #149
0,00: VM #75 has been allocated to the host #151
0,00: VM #76 has been allocated to the host #153
0,00: VM #77 has been allocated to the host #155
0,00: VM #78 has been allocated to the host #157
0,00: VM #79 has been allocated to the host #159
0,00: VM #80 has been allocated to the host #161
0,00: VM #81 has been allocated to the host #163
0,00: VM #82 has been allocated to the host #165
0,00: VM #83 has been allocated to the host #167
0,00: VM #84 has been allocated to the host #169
0,00: VM #85 has been allocated to the host #171
0,00: VM #86 has been allocated to the host #173
0,00: VM #87 has been allocated to the host #175
0,00: VM #88 has been allocated to the host #177
0,00: VM #89 has been allocated to the host #179
0,00: VM #90 has been allocated to the host #181
0,00: VM #91 has been allocated to the host #183
0,00: VM #92 has been allocated to the host #185
0,00: VM #93 has been allocated to the host #187
0,00: VM #94 has been allocated to the host #189
0,00: VM #95 has been allocated to the host #191
0,00: VM #96 has been allocated to the host #193
0,00: VM #97 has been allocated to the host #195
0,00: VM #98 has been allocated to the host #197
0,00: VM #99 has been allocated to the host #199
0,00: VM #100 has been allocated to the host #201
0,00: VM #101 has been allocated to the host #203
0,00: VM #102 has been allocated to the host #205
0,00: VM #103 has been allocated to the host #207
0,00: VM #104 has been allocated to the host #209
0,00: VM #105 has been allocated to the host #211
0,00: VM #106 has been allocated to the host #213
0,00: VM #107 has been allocated to the host #215
0,00: VM #108 has been allocated to the host #217
0,00: VM #109 has been allocated to the host #219
0,00: VM #110 has been allocated to the host #221
0,00: VM #111 has been allocated to the host #223
0,00: VM #112 has been allocated to the host #225
0,00: VM #113 has been allocated to the host #227
0,00: VM #114 has been allocated to the host #229
0,00: VM #115 has been allocated to the host #231
0,00: VM #116 has been allocated to the host #233
0,00: VM #117 has been allocated to the host #235
0,00: VM #118 has been allocated to the host #237
0,00: VM #119 has been allocated to the host #239
0,00: VM #120 has been allocated to the host #241
0,00: VM #121 has been allocated to the host #243
0,00: VM #122 has been allocated to the host #245
0,00: VM #123 has been allocated to the host #247
0,00: VM #124 has been allocated to the host #249
0,00: VM #125 has been allocated to the host #251
0,00: VM #126 has been allocated to the host #253
0,00: VM #127 has been allocated to the host #255
0,00: VM #128 has been allocated to the host #257
0,00: VM #129 has been allocated to the host #259
0,00: VM #130 has been allocated to the host #261
0,00: VM #131 has been allocated to the host #263
0,00: VM #132 has been allocated to the host #265
0,00: VM #133 has been allocated to the host #267
0,00: VM #134 has been allocated to the host #269
0,00: VM #135 has been allocated to the host #271
0,00: VM #136 has been allocated to the host #273
0,00: VM #137 has been allocated to the host #275
0,00: VM #138 has been allocated to the host #277
0,00: VM #139 has been allocated to the host #279
0,00: VM #140 has been allocated to the host #281
0,00: VM #141 has been allocated to the host #283
0,00: VM #142 has been allocated to the host #285
0,00: VM #143 has been allocated to the host #287
0,00: VM #144 has been allocated to the host #289
0,00: VM #145 has been allocated to the host #291
0,00: VM #146 has been allocated to the host #293
0,00: VM #147 has been allocated to the host #295
0,00: VM #148 has been allocated to the host #297
0,00: VM #149 has been allocated to the host #299
0,00: VM #150 has been allocated to the host #301
0,00: VM #151 has been allocated to the host #303
0,00: VM #152 has been allocated to the host #305
0,00: VM #153 has been allocated to the host #307
0,00: VM #154 has been allocated to the host #309
0,00: VM #155 has been allocated to the host #311
0,00: VM #156 has been allocated to the host #313
0,00: VM #157 has been allocated to the host #315
0,00: VM #158 has been allocated to the host #317
0,00: VM #159 has been allocated to the host #319
0,00: VM #160 has been allocated to the host #321
0,00: VM #161 has been allocated to the host #323
0,00: VM #162 has been allocated to the host #325
0,00: VM #163 has been allocated to the host #327
0,00: VM #164 has been allocated to the host #329
0,00: VM #165 has been allocated to the host #331
0,00: VM #166 has been allocated to the host #333
0,00: VM #167 has been allocated to the host #335
0,00: VM #168 has been allocated to the host #337
0,00: VM #169 has been allocated to the host #339
0,00: VM #170 has been allocated to the host #341
0,00: VM #171 has been allocated to the host #343
0,00: VM #172 has been allocated to the host #345
0,00: VM #173 has been allocated to the host #347
0,00: VM #174 has been allocated to the host #349
0,00: VM #175 has been allocated to the host #351
0,00: VM #176 has been allocated to the host #353
0,00: VM #177 has been allocated to the host #355
0,00: VM #178 has been allocated to the host #357
0,00: VM #179 has been allocated to the host #359
0,00: VM #180 has been allocated to the host #361
0,00: VM #181 has been allocated to the host #363
0,00: VM #182 has been allocated to the host #365
0,00: VM #183 has been allocated to the host #367
0,00: VM #184 has been allocated to the host #369
0,00: VM #185 has been allocated to the host #371
0,00: VM #186 has been allocated to the host #373
0,00: VM #187 has been allocated to the host #375
0,00: VM #188 has been allocated to the host #377
0,00: VM #189 has been allocated to the host #379
0,00: VM #190 has been allocated to the host #381
0,00: VM #191 has been allocated to the host #383
0,00: VM #192 has been allocated to the host #385
0,00: VM #193 has been allocated to the host #387
0,00: VM #194 has been allocated to the host #389
0,00: VM #195 has been allocated to the host #391
0,00: VM #196 has been allocated to the host #393
0,00: VM #197 has been allocated to the host #395
0,00: VM #198 has been allocated to the host #397
0,00: VM #199 has been allocated to the host #399
0,00: VM #200 has been allocated to the host #401
0,00: VM #201 has been allocated to the host #403
0,00: VM #202 has been allocated to the host #405
0,00: VM #203 has been allocated to the host #407
0,00: VM #204 has been allocated to the host #409
0,00: VM #205 has been allocated to the host #411
0,00: VM #206 has been allocated to the host #413
0,00: VM #207 has been allocated to the host #415
0,00: VM #208 has been allocated to the host #417
0,00: VM #209 has been allocated to the host #419
0,00: VM #210 has been allocated to the host #421
0,00: VM #211 has been allocated to the host #423
0,00: VM #212 has been allocated to the host #425
0,00: VM #213 has been allocated to the host #427
0,00: VM #214 has been allocated to the host #429
0,00: VM #215 has been allocated to the host #431
0,00: VM #216 has been allocated to the host #433
0,00: VM #217 has been allocated to the host #435
0,00: VM #218 has been allocated to the host #437
0,00: VM #219 has been allocated to the host #439
0,00: VM #220 has been allocated to the host #441
0,00: VM #221 has been allocated to the host #443
0,00: VM #222 has been allocated to the host #445
0,00: VM #223 has been allocated to the host #447
0,00: VM #224 has been allocated to the host #449
0,00: VM #225 has been allocated to the host #451
0,00: VM #226 has been allocated to the host #453
0,00: VM #227 has been allocated to the host #455
0,00: VM #228 has been allocated to the host #457
0,00: VM #229 has been allocated to the host #459
0,00: VM #230 has been allocated to the host #461
0,00: VM #231 has been allocated to the host #463
0,00: VM #232 has been allocated to the host #465
0,00: VM #233 has been allocated to the host #467
0,00: VM #234 has been allocated to the host #469
0,00: VM #235 has been allocated to the host #471
0,00: VM #236 has been allocated to the host #473
0,00: VM #237 has been allocated to the host #475
0,00: VM #238 has been allocated to the host #477
0,00: VM #239 has been allocated to the host #479
0,00: VM #240 has been allocated to the host #481
0,00: VM #241 has been allocated to the host #483
0,00: VM #242 has been allocated to the host #485
0,00: VM #243 has been allocated to the host #487
0,00: VM #244 has been allocated to the host #489
0,00: VM #245 has been allocated to the host #491
0,00: VM #246 has been allocated to the host #493
0,00: VM #247 has been allocated to the host #495
0,00: VM #248 has been allocated to the host #497
0,00: VM #249 has been allocated to the host #499
0,00: VM #250 has been allocated to the host #501
0,00: VM #251 has been allocated to the host #503
0,00: VM #252 has been allocated to the host #505
0,00: VM #253 has been allocated to the host #507
0,00: VM #254 has been allocated to the host #509
0,00: VM #255 has been allocated to the host #511
0,00: VM #256 has been allocated to the host #513
0,00: VM #257 has been allocated to the host #515
0,00: VM #258 has been allocated to the host #517
0,00: VM #259 has been allocated to the host #519
0,00: VM #260 has been allocated to the host #521
0,00: VM #261 has been allocated to the host #523
0,00: VM #262 has been allocated to the host #525
0,00: VM #263 has been allocated to the host #527
0,00: VM #264 has been allocated to the host #529
0,00: VM #265 has been allocated to the host #531
0,00: VM #266 has been allocated to the host #533
0,00: VM #267 has been allocated to the host #535
0,00: VM #268 has been allocated to the host #537
0,00: VM #269 has been allocated to the host #539
0,00: VM #270 has been allocated to the host #541
0,00: VM #271 has been allocated to the host #543
0,00: VM #272 has been allocated to the host #545
0,00: VM #273 has been allocated to the host #547
0,00: VM #274 has been allocated to the host #549
0,00: VM #275 has been allocated to the host #551
0,00: VM #276 has been allocated to the host #553
0,00: VM #277 has been allocated to the host #555
0,00: VM #278 has been allocated to the host #557
0,00: VM #279 has been allocated to the host #559
0,00: VM #280 has been allocated to the host #561
0,00: VM #281 has been allocated to the host #563
0,00: VM #282 has been allocated to the host #565
0,00: VM #283 has been allocated to the host #567
0,00: VM #284 has been allocated to the host #569
0,00: VM #285 has been allocated to the host #571
0,00: VM #286 has been allocated to the host #573
0,00: VM #287 has been allocated to the host #575
0,00: VM #288 has been allocated to the host #577
0,00: VM #289 has been allocated to the host #579
0,00: VM #290 has been allocated to the host #581
0,00: VM #291 has been allocated to the host #583
0,00: VM #292 has been allocated to the host #585
0,00: VM #293 has been allocated to the host #587
0,00: VM #294 has been allocated to the host #589
0,00: VM #295 has been allocated to the host #591
0,00: VM #296 has been allocated to the host #593
0,00: VM #297 has been allocated to the host #595
0,00: VM #298 has been allocated to the host #597
0,00: VM #299 has been allocated to the host #599
0,00: VM #300 has been allocated to the host #601
0,00: VM #301 has been allocated to the host #603
0,00: VM #302 has been allocated to the host #605
0,00: VM #303 has been allocated to the host #607
0,00: VM #304 has been allocated to the host #609
0,00: VM #305 has been allocated to the host #611
0,00: VM #306 has been allocated to the host #613
0,00: VM #307 has been allocated to the host #615
0,00: VM #308 has been allocated to the host #617
0,00: VM #309 has been allocated to the host #619
0,00: VM #310 has been allocated to the host #621
0,00: VM #311 has been allocated to the host #623
0,00: VM #312 has been allocated to the host #625
0,00: VM #313 has been allocated to the host #627
0,00: VM #314 has been allocated to the host #629
0,00: VM #315 has been allocated to the host #631
0,00: VM #316 has been allocated to the host #633
0,00: VM #317 has been allocated to the host #635
0,00: VM #318 has been allocated to the host #637
0,00: VM #319 has been allocated to the host #639
0,00: VM #320 has been allocated to the host #641
0,00: VM #321 has been allocated to the host #643
0,00: VM #322 has been allocated to the host #645
0,00: VM #323 has been allocated to the host #647
0,00: VM #324 has been allocated to the host #649
0,00: VM #325 has been allocated to the host #651
0,00: VM #326 has been allocated to the host #653
0,00: VM #327 has been allocated to the host #655
0,00: VM #328 has been allocated to the host #657
0,00: VM #329 has been allocated to the host #659
0,00: VM #330 has been allocated to the host #661
0,00: VM #331 has been allocated to the host #663
0,00: VM #332 has been allocated to the host #665
0,00: VM #333 has been allocated to the host #667
0,00: VM #334 has been allocated to the host #669
0,00: VM #335 has been allocated to the host #671
0,00: VM #336 has been allocated to the host #673
0,00: VM #337 has been allocated to the host #675
0,00: VM #338 has been allocated to the host #677
0,00: VM #339 has been allocated to the host #679
0,00: VM #340 has been allocated to the host #681
0,00: VM #341 has been allocated to the host #683
0,00: VM #342 has been allocated to the host #685
0,00: VM #343 has been allocated to the host #687
0,00: VM #344 has been allocated to the host #689
0,00: VM #345 has been allocated to the host #691
0,00: VM #346 has been allocated to the host #693
0,00: VM #347 has been allocated to the host #695
0,00: VM #348 has been allocated to the host #697
0,00: VM #349 has been allocated to the host #699
0,00: VM #350 has been allocated to the host #701
0,00: VM #351 has been allocated to the host #703
0,00: VM #352 has been allocated to the host #705
0,00: VM #353 has been allocated to the host #707
0,00: VM #354 has been allocated to the host #709
0,00: VM #355 has been allocated to the host #711
0,00: VM #356 has been allocated to the host #713
0,00: VM #357 has been allocated to the host #715
0,00: VM #358 has been allocated to the host #717
0,00: VM #359 has been allocated to the host #719
0,00: VM #360 has been allocated to the host #721
0,00: VM #361 has been allocated to the host #723
0,00: VM #362 has been allocated to the host #725
0,00: VM #363 has been allocated to the host #727
0,00: VM #364 has been allocated to the host #729
0,00: VM #365 has been allocated to the host #731
0,00: VM #366 has been allocated to the host #733
0,00: VM #367 has been allocated to the host #735
0,00: VM #368 has been allocated to the host #737
0,00: VM #369 has been allocated to the host #739
0,00: VM #370 has been allocated to the host #741
0,00: VM #371 has been allocated to the host #743
0,00: VM #372 has been allocated to the host #745
0,00: VM #373 has been allocated to the host #747
0,00: VM #374 has been allocated to the host #749
0,00: VM #375 has been allocated to the host #751
0,00: VM #376 has been allocated to the host #753
0,00: VM #377 has been allocated to the host #755
0,00: VM #378 has been allocated to the host #757
0,00: VM #379 has been allocated to the host #759
0,00: VM #380 has been allocated to the host #761
0,00: VM #381 has been allocated to the host #763
0,00: VM #382 has been allocated to the host #765
0,00: VM #383 has been allocated to the host #767
0,00: VM #384 has been allocated to the host #769
0,00: VM #385 has been allocated to the host #771
0,00: VM #386 has been allocated to the host #773
0,00: VM #387 has been allocated to the host #775
0,00: VM #388 has been allocated to the host #777
0,00: VM #389 has been allocated to the host #779
0,00: VM #390 has been allocated to the host #781
0,00: VM #391 has been allocated to the host #783
0,00: VM #392 has been allocated to the host #785
0,00: VM #393 has been allocated to the host #787
0,00: VM #394 has been allocated to the host #789
0,00: VM #395 has been allocated to the host #791
0,00: VM #396 has been allocated to the host #793
0,00: VM #397 has been allocated to the host #795
0,00: VM #398 has been allocated to the host #797
0,00: VM #399 has been allocated to the host #799
0,00: No suitable host found for VM #400

0,00: No suitable host found for VM #401

0,00: No suitable host found for VM #402

0,00: No suitable host found for VM #403

0,00: No suitable host found for VM #404

0,00: No suitable host found for VM #405

0,00: No suitable host found for VM #406

0,00: No suitable host found for VM #407

0,00: No suitable host found for VM #408

0,00: No suitable host found for VM #409

0,00: No suitable host found for VM #410

0,00: No suitable host found for VM #411

0,00: No suitable host found for VM #412

0,00: No suitable host found for VM #413

0,00: No suitable host found for VM #414

0,00: No suitable host found for VM #415

0,00: No suitable host found for VM #416

0,00: No suitable host found for VM #417

0,00: No suitable host found for VM #418

0,00: No suitable host found for VM #419

